For Seed: 103 

Rewards Tr: 142.41, Rewards Val: 141.57, Rewards Eval: 149.84, Total Timesteps: 122533130 episode:228 

Rewards Tr: 134.88, Rewards Val: 140.12, Rewards Eval: 130.20, Total Timesteps: 123133130 episode:229 

Rewards Tr: 138.48, Rewards Val: 135.78, Rewards Eval: 161.76, Total Timesteps: 123733130 episode:230 

Rewards Tr: 139.15, Rewards Val: 142.65, Rewards Eval: 173.45, Total Timesteps: 124333130 episode:231 

Rewards Tr: 141.08, Rewards Val: 137.68, Rewards Eval: 156.44, Total Timesteps: 124933130 episode:232 

Rewards Tr: 136.62, Rewards Val: 134.41, Rewards Eval: 154.12, Total Timesteps: 125533130 episode:233 

Rewards Tr: 144.33, Rewards Val: 138.27, Rewards Eval: 151.07, Total Timesteps: 126133130 episode:234 

Rewards Tr: 137.47, Rewards Val: 138.48, Rewards Eval: 143.64, Total Timesteps: 126733130 episode:235 

Rewards Tr: 131.41, Rewards Val: 134.74, Rewards Eval: 162.22, Total Timesteps: 127333130 episode:236 

Rewards Tr: 132.18, Rewards Val: 126.42, Rewards Eval: 145.61, Total Timesteps: 127933130 episode:237 

Rewards Tr: 134.94, Rewards Val: 131.79, Rewards Eval: 134.75, Total Timesteps: 128533130 episode:238 

Rewards Tr: 138.21, Rewards Val: 133.61, Rewards Eval: 147.78, Total Timesteps: 129133130 episode:239 

