
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 478.69, Rewards Val: 490.75, Rewards Eval: 457.20, Total Timesteps: 73296700 episode:203 

Rewards Tr: 495.92, Rewards Val: 487.34, Rewards Eval: 462.36, Total Timesteps: 73480980 episode:204 

Rewards Tr: 514.59, Rewards Val: 507.89, Rewards Eval: 615.56, Total Timesteps: 73674140 episode:205 

Rewards Tr: 539.14, Rewards Val: 518.52, Rewards Eval: 570.81, Total Timesteps: 73875690 episode:206 

Rewards Tr: 582.88, Rewards Val: 556.01, Rewards Eval: 518.50, Total Timesteps: 74115300 episode:207 

Rewards Tr: 590.72, Rewards Val: 607.35, Rewards Eval: 776.25, Total Timesteps: 74405500 episode:208 

Rewards Tr: 711.05, Rewards Val: 709.37, Rewards Eval: 872.86, Total Timesteps: 74815710 episode:209 

Rewards Tr: 706.12, Rewards Val: 698.33, Rewards Eval: 758.76, Total Timesteps: 75210190 episode:210 

Rewards Tr: 788.07, Rewards Val: 762.96, Rewards Eval: 554.79, Total Timesteps: 75666420 episode:211 

Rewards Tr: 744.29, Rewards Val: 687.41, Rewards Eval: 656.67, Total Timesteps: 76080900 episode:212 

Rewards Tr: 761.64, Rewards Val: 695.80, Rewards Eval: 638.84, Total Timesteps: 76481690 episode:213 

Rewards Tr: 643.44, Rewards Val: 619.81, Rewards Eval: 510.05, Total Timesteps: 76800360 episode:214 

Rewards Tr: 640.42, Rewards Val: 623.50, Rewards Eval: 484.60, Total Timesteps: 77089200 episode:215 

Rewards Tr: 607.59, Rewards Val: 616.83, Rewards Eval: 778.99, Total Timesteps: 77372170 episode:216 

Rewards Tr: 609.76, Rewards Val: 603.10, Rewards Eval: 670.10, Total Timesteps: 77638210 episode:217 

Rewards Tr: 625.85, Rewards Val: 644.38, Rewards Eval: 920.17, Total Timesteps: 77911340 episode:218 

Rewards Tr: 637.26, Rewards Val: 628.00, Rewards Eval: 792.23, Total Timesteps: 78192150 episode:219 

Rewards Tr: 617.21, Rewards Val: 648.53, Rewards Eval: 685.26, Total Timesteps: 78490820 episode:220 

Rewards Tr: 660.28, Rewards Val: 687.94, Rewards Eval: 774.11, Total Timesteps: 78830580 episode:221 

Rewards Tr: 770.09, Rewards Val: 805.17, Rewards Eval: 765.92, Total Timesteps: 79257220 episode:222 

Rewards Tr: 901.57, Rewards Val: 825.62, Rewards Eval: 430.39, Total Timesteps: 79725960 episode:223 

Rewards Tr: 905.07, Rewards Val: 887.55, Rewards Eval: 1111.94, Total Timesteps: 80205750 episode:224 

Rewards Tr: 865.07, Rewards Val: 864.82, Rewards Eval: 745.91, Total Timesteps: 80650580 episode:225 

Rewards Tr: 756.49, Rewards Val: 786.34, Rewards Eval: 884.61, Total Timesteps: 81045010 episode:226 

Rewards Tr: 700.82, Rewards Val: 692.37, Rewards Eval: 573.73, Total Timesteps: 81363180 episode:227 

Rewards Tr: 604.22, Rewards Val: 613.80, Rewards Eval: 464.10, Total Timesteps: 81620560 episode:228 

Rewards Tr: 562.13, Rewards Val: 586.28, Rewards Eval: 553.77, Total Timesteps: 81839160 episode:229 

Rewards Tr: 599.76, Rewards Val: 609.54, Rewards Eval: 531.48, Total Timesteps: 82086560 episode:230 

Rewards Tr: 709.23, Rewards Val: 740.62, Rewards Eval: 764.23, Total Timesteps: 82429820 episode:231 

Rewards Tr: 806.73, Rewards Val: 786.25, Rewards Eval: 705.11, Total Timesteps: 82807760 episode:232 

Rewards Tr: 1010.22, Rewards Val: 955.58, Rewards Eval: 1697.79, Total Timesteps: 83314210 episode:233 

Rewards Tr: 1083.31, Rewards Val: 994.72, Rewards Eval: 816.86, Total Timesteps: 83875310 episode:234 

