For Seed: 1 

Rewards Tr: 1721.86, Rewards Val: 1857.94, Rewards Eval: 2170.99, Total Timesteps: 54920780 episode:209 

Rewards Tr: 1797.68, Rewards Val: 1747.79, Rewards Eval: 1921.42, Total Timesteps: 55284160 episode:210 

Rewards Tr: 1880.22, Rewards Val: 1929.01, Rewards Eval: 2008.49, Total Timesteps: 55638850 episode:211 

Rewards Tr: 2045.65, Rewards Val: 1936.67, Rewards Eval: 2310.45, Total Timesteps: 55987140 episode:212 

Rewards Tr: 2315.47, Rewards Val: 2222.60, Rewards Eval: 2348.16, Total Timesteps: 56366600 episode:213 

Rewards Tr: 1836.13, Rewards Val: 1871.87, Rewards Eval: 1979.08, Total Timesteps: 56733090 episode:214 

Rewards Tr: 1952.52, Rewards Val: 2001.13, Rewards Eval: 1530.79, Total Timesteps: 57081980 episode:215 

Rewards Tr: 1597.66, Rewards Val: 1611.98, Rewards Eval: 2535.34, Total Timesteps: 57455180 episode:216 

Rewards Tr: 1780.82, Rewards Val: 1655.84, Rewards Eval: 2718.61, Total Timesteps: 57806710 episode:217 

Rewards Tr: 2133.84, Rewards Val: 2157.09, Rewards Eval: 1931.08, Total Timesteps: 58193020 episode:218 

Rewards Tr: 2004.53, Rewards Val: 1825.58, Rewards Eval: 1927.16, Total Timesteps: 58551490 episode:219 

Rewards Tr: 1804.09, Rewards Val: 1626.29, Rewards Eval: 2122.14, Total Timesteps: 58897590 episode:220 

Rewards Tr: 1880.49, Rewards Val: 1931.72, Rewards Eval: 2343.80, Total Timesteps: 59237810 episode:221 

Rewards Tr: 1587.10, Rewards Val: 1566.38, Rewards Eval: 1987.73, Total Timesteps: 59585120 episode:222 

Rewards Tr: 1902.57, Rewards Val: 1803.33, Rewards Eval: 1853.77, Total Timesteps: 59944480 episode:223 

Rewards Tr: 1977.90, Rewards Val: 1930.16, Rewards Eval: 1951.69, Total Timesteps: 60319730 episode:224 

Rewards Tr: 1965.47, Rewards Val: 2072.37, Rewards Eval: 1378.47, Total Timesteps: 60689620 episode:225 

Rewards Tr: 1746.43, Rewards Val: 1811.48, Rewards Eval: 2462.96, Total Timesteps: 61039730 episode:226 

Rewards Tr: 1943.07, Rewards Val: 1946.86, Rewards Eval: 2503.32, Total Timesteps: 61406550 episode:227 

Rewards Tr: 1755.81, Rewards Val: 1822.73, Rewards Eval: 2145.13, Total Timesteps: 61760830 episode:228 

Rewards Tr: 2234.77, Rewards Val: 2106.59, Rewards Eval: 2468.11, Total Timesteps: 62136240 episode:229 

Rewards Tr: 1880.07, Rewards Val: 2044.85, Rewards Eval: 1608.75, Total Timesteps: 62497910 episode:230 

