For Seed: 3 

Rewards Tr: -149.43, Rewards Eval: -132.57, Total Timesteps: 100000 episode:0 
Rewards Tr: 1239.65, Rewards Eval: 1224.32, Total Timesteps: 25300000 episode:252 

Rewards Tr: 1237.40, Rewards Eval: 1228.64, Total Timesteps: 25400000 episode:253 

Rewards Tr: 1232.10, Rewards Eval: 1240.80, Total Timesteps: 25500000 episode:254 

Rewards Tr: 1235.56, Rewards Eval: 1247.20, Total Timesteps: 25600000 episode:255 

Rewards Tr: 1231.41, Rewards Eval: 1234.52, Total Timesteps: 25700000 episode:256 

Rewards Tr: 1223.40, Rewards Eval: 1248.17, Total Timesteps: 25800000 episode:257 

Rewards Tr: 1229.09, Rewards Eval: 1217.67, Total Timesteps: 25900000 episode:258 

Rewards Tr: 1224.87, Rewards Eval: 1209.19, Total Timesteps: 26000000 episode:259 

Rewards Tr: 1215.04, Rewards Eval: 1195.69, Total Timesteps: 26100000 episode:260 

Rewards Tr: 1222.09, Rewards Eval: 1250.26, Total Timesteps: 26200000 episode:261 

Rewards Tr: 1218.35, Rewards Eval: 1208.97, Total Timesteps: 26300000 episode:262 

Rewards Tr: 1221.37, Rewards Eval: 1208.96, Total Timesteps: 26400000 episode:263 

Rewards Tr: 1225.71, Rewards Eval: 1215.74, Total Timesteps: 26500000 episode:264 

Rewards Tr: 1233.18, Rewards Eval: 1215.19, Total Timesteps: 26600000 episode:265 

Rewards Tr: 1236.08, Rewards Eval: 1239.38, Total Timesteps: 26700000 episode:266 

Rewards Tr: 1233.56, Rewards Eval: 1228.46, Total Timesteps: 26800000 episode:267 

Rewards Tr: 1242.26, Rewards Eval: 1253.83, Total Timesteps: 26900000 episode:268 

Rewards Tr: 1232.91, Rewards Eval: 1226.88, Total Timesteps: 27000000 episode:269 

Rewards Tr: 1235.16, Rewards Eval: 1246.11, Total Timesteps: 27100000 episode:270 

Rewards Tr: 1232.90, Rewards Eval: 1266.99, Total Timesteps: 27200000 episode:271 

Rewards Tr: 1235.82, Rewards Eval: 1222.41, Total Timesteps: 27300000 episode:272 

Rewards Tr: 1236.30, Rewards Eval: 1267.43, Total Timesteps: 27400000 episode:273 

Rewards Tr: 1234.20, Rewards Eval: 1255.41, Total Timesteps: 27500000 episode:274 

Rewards Tr: 1232.06, Rewards Eval: 1219.05, Total Timesteps: 27600000 episode:275 

Rewards Tr: 1237.83, Rewards Eval: 1248.93, Total Timesteps: 27700000 episode:276 

Rewards Tr: 1234.56, Rewards Eval: 1251.27, Total Timesteps: 27800000 episode:277 

Rewards Tr: 1238.57, Rewards Eval: 1231.17, Total Timesteps: 27900000 episode:278 

Rewards Tr: 1240.63, Rewards Eval: 1231.78, Total Timesteps: 28000000 episode:279 

Rewards Tr: 1241.95, Rewards Eval: 1253.76, Total Timesteps: 28100000 episode:280 

Rewards Tr: 1240.95, Rewards Eval: 1211.83, Total Timesteps: 28200000 episode:281 

Rewards Tr: 1233.34, Rewards Eval: 1260.66, Total Timesteps: 28300000 episode:282 

Rewards Tr: 1240.87, Rewards Eval: 1203.39, Total Timesteps: 28400000 episode:283 

Rewards Tr: 1233.57, Rewards Eval: 1185.32, Total Timesteps: 28500000 episode:284 

Rewards Tr: 1228.88, Rewards Eval: 1206.15, Total Timesteps: 28600000 episode:285 

Rewards Tr: 1233.10, Rewards Eval: 1251.17, Total Timesteps: 28700000 episode:286 

Rewards Tr: 1217.78, Rewards Eval: 1210.13, Total Timesteps: 28800000 episode:287 

